keyword,name,category,subcategory,image,price,item_no,location,description,description_link,url
elektro kabinenroller,🐸 Elektro Transporter Kabinenroller Lastendreirad Ape EU COC TÜV geprüft ,Business & Industrie,Transport & Logistik|Sonstige,https://i.ebayimg.com/images/g/2p0AAOSwbLVfQ-JU/s-l300.jpg,"EUR 4.590,00",274575184343,,{'Herstellernummer': 'nicht zutreffendNicht zutreffend'},https://vi.vipr.ebaydesc.com/ws/eBayISAPI.dll?ViewItemDescV4&item=274575184343&t=0&category=26224&seller=elektrofroschberlin&excSoj=1&excTrk=1&lsite=77&ittenable=false&domain=ebay.de&descgauge=1&cspheader=1&oneClk=2&secureDesc=1,https://www.ebay.de/itm/274575184343
elektro kabinenroller,🐸 Elektro Transporter Kabinenroller Lastendreirad Ape EU COC TÜV geprüft ,Business & Industrie,Transport & Logistik|Sonstige,https://i.ebayimg.com/images/g/Kj8AAOSwGQJfXjbW/s-l300.jpg,"EUR 4.590,00",274575183083,,{'Herstellernummer': 'nicht zutreffendNicht zutreffend'},https://vi.vipr.ebaydesc.com/ws/eBayISAPI.dll?ViewItemDescV4&item=274575183083&t=0&category=26224&seller=elektrofroschberlin&excSoj=1&excTrk=1&lsite=77&ittenable=false&domain=ebay.de&descgauge=1&cspheader=1&oneClk=2&secureDesc=1,https://www.ebay.de/itm/274575183083
beta ecdysteron,EXTREME ECDYSTERON - 245 mg Beta-Ecdystero,Beauty & Gesundheit,Vitamine & Lifestyle Nahrungsergänzungsmittel|Ernährung|Protein Shakes & Muskelaufbau,https://i.ebayimg.com/images/g/fk0AAOSw~FxfPk0i/s-l300.jpg,"EUR 29,99/Stk.",324141280034,,"{'Geschmack': 'NeutralAlphatier Supplements', 'Produktart': 'Beta-EcdysteronBeta-Ecdysteron', 'Hauptverwendungszweck': 'Kraft, Power, Muskelaufbau, Bodybuilding, Fitness, Fitnessstudio & Training, GewichthebenNein', 'Herstellernummer': 'Extreme EcdysteronFitness, Kraft, Bodybuilding', 'Angebotspaket': 'NeinAlphatier Supplements', 'Verabreichungsform': 'KapselMorgens', 'EAN': '4260351435951'}",https://vi.vipr.ebaydesc.com/ws/eBayISAPI.dll?ViewItemDescV4&item=324141280034&t=1587376542000&category=97034&seller=nutri-plus&excSoj=1&excTrk=1&lsite=77&ittenable=false&domain=ebay.de&descgauge=1&cspheader=1&oneClk=2&secureDesc=1,https://www.ebay.de/itm/324141280034
klimageraet ohne aussengeraet,"Remko Monoblock Klimagerät ohne Außengerät | KWT 240 DC | 2,35 kW",Heimwerker,Installation|Heizungs- & Klimasysteme|Mini-Split- & Inverter-Systeme|Mehr anzeigen Remko Raum Klimagerät KWT 240 DC 1609240,https://i.ebayimg.com/images/g/sD8AAOSwWz9fFWaz/s-l300.jpg,"EUR 2.058,60",184370317256,,"{'Anzahl': 'der Einheiten1609240', 'Produktart': 'Heizung/Klimasonstige', 'UPC': 'Nicht zutreffendNicht zutreffend', 'EAN': '4026415149130'}",https://vi.vipr.ebaydesc.com/ws/eBayISAPI.dll?ViewItemDescV4&item=184370317256&t=0&category=185110&seller=klimaworld&excSoj=1&excTrk=1&lsite=77&ittenable=false&domain=ebay.de&descgauge=1&cspheader=1&oneClk=2&secureDesc=1&oversion=e7506cc8,https://www.ebay.de/itm/184370317256
magic tape,1-5m Magic Nano Tape Doppelseitiges Klebeband Abnehmbar Gel Spurloses Klebeband,Bastel- & Künstlerbedarf,Bastelmaterialien|Klebstoff & Klebeband|Sonstige,https://i.ebayimg.com/images/g/tCQAAOSwrptfo5PV/s-l300.jpg,"EUR 4,99",233769942866,,{},https://vi.vipr.ebaydesc.com/ws/eBayISAPI.dll?ViewItemDescV4&item=233769942866&t=0&category=183125&seller=sotopstore&excSoj=1&excTrk=1&lsite=77&ittenable=false&domain=ebay.de&descgauge=1&cspheader=1&oneClk=2&secureDesc=1,https://www.ebay.de/itm/233769942866
lymphdrainage geraet, Lymphdrainage Gerät Beinmassageger,Beauty & Gesundheit,Massage|Massagegeräte,https://i.ebayimg.com/images/g/lOsAAOSwo4pfbxgm/s-l300.jpg,"EUR 129,00",224171102806,,"{'Gerät': 'Massagegerät für BeineCE', 'Leistung & Netzspannung': '30W, 220V, 50/60Hzca. 1kg', 'Anwendungsdauer': 'bis 30 minnicht zutreffend', 'Modifizierter Artikel': 'NeinNein', 'Produktart': 'LymphdrainagegerätKabelgebunden elektrisch', 'Massage': 'BeinmassageBeinmassage', 'Körperbereich': 'Bein1 Jahr', 'Maße (LxBxH)': '34cm x 32cm x 33cmMassagegerät', 'EAN': '0089336499900'}",https://vi.vipr.ebaydesc.com/ws/eBayISAPI.dll?ViewItemDescV4&item=224171102806&t=0&category=36449&seller=gaubie1&excSoj=1&excTrk=1&lsite=77&ittenable=false&domain=ebay.de&descgauge=1&cspheader=1&oneClk=2&secureDesc=1,https://www.ebay.de/itm/224171102806
katzenklappe mit mauserkennung,Katzenklappe mit 4-Wege-Schließ,Haustierbedarf,Katzen|Katzenklappen|Haustierbedarf|Hunde|Hundeklappen,https://i.ebayimg.com/images/g/PcwAAOSw4ptd6fTi/s-l300.jpg,"EUR 11,99/Stk.",124108291771,,"{'Overall Size (W x H x D)': 'approx. 19.2cm×20cm×5.5cmABS', 'Weight': 'circa. 272gKatzenklappe', 'Suitable for': 'Pets who’s weight under 7kg and waistline under 40cmMarkenlos', 'Colour': 'Black/White/CoffeeMedium', 'Flap Size (W x H)': '15.7cm x 15.5cmapprox. 19.2cm x 20cm', 'Flap Abmessung': '15.7cm x 15.5cm'}",https://vi.vipr.ebaydesc.com/ws/eBayISAPI.dll?ViewItemDescV4&item=124108291771&t=1591759744000&category=117421&seller=golden54tan&excSoj=1&excTrk=1&lsite=77&ittenable=false&domain=ebay.de&descgauge=1&cspheader=1&oneClk=2&secureDesc=1,https://www.ebay.de/itm/124108291771
cpap geraete,Pulox Auto CPAP Schlafapnoe Therapiegerät,Business & Industrie,Medizin & Labor|Medizinische Geräte|Beatmungsgeräte|Mehr anzeigen PULOX Auto CPAP Schlafapnoe Therapiegerät,https://i.ebayimg.com/images/g/cuQAAOSwMalfcZBF/s-l300.jpg,"EUR 439,00",153765024003,,{'EAN': '4250545520068nicht zutreffend'},https://vi.vipr.ebaydesc.com/ws/eBayISAPI.dll?ViewItemDescV4&item=153765024003&t=1601278027000&category=30810&seller=novidion&excSoj=1&excTrk=1&lsite=77&ittenable=false&domain=ebay.de&descgauge=1&cspheader=1&oneClk=2&secureDesc=1,https://www.ebay.de/itm/153765024003
magic tape,Klebendes Nano Magic Tape Doppelseitiges spurloses unsichtbares Gel rutschfest,Bastel- & Künstlerbedarf,Bastelmaterialien|Klebstoff & Klebeband|Sonstige,https://i.ebayimg.com/images/g/3qgAAOSwv7xfsitj/s-l300.jpg,"EUR 6,99",313302548456,,{'Beschreibung des Paketinhalts': '1 X Klebeband'},https://vi.vipr.ebaydesc.com/ws/eBayISAPI.dll?ViewItemDescV4&item=313302548456&t=0&category=183125&seller=mengchen97&excSoj=1&excTrk=1&lsite=77&ittenable=false&domain=ebay.de&descgauge=1&cspheader=1&oneClk=2&secureDesc=1,https://www.ebay.de/itm/313302548456
aldi zelt,Iglu Doppeldach-Zel,Sport,Camping & Outdoor|Zelte & Strandmuscheln|Zelte,https://i.ebayimg.com/images/g/nxMAAOSwzl9fsSAU/s-l300.jpg,"EUR 50,00",184537273077,,"{'Herstellernummer': 'nicht zutreffendAldi', 'Besonderheiten': 'Schnellaufbau, Stauraum, Vorraum, WasserfestKuppel-/ Igluzelt', 'Gewicht': '5 kgPolyester', 'Anzahl der Schlafkabinen': '1210 cm', 'Farbe': 'GrauAllgemeiner Gebrauch', 'Höhe': '150 cm240cm + 110cm', 'EAN': 'Nicht zutreffend'}",https://vi.vipr.ebaydesc.com/ws/eBayISAPI.dll?ViewItemDescV4&item=184537273077&t=0&category=179010&seller=misterbalou234&excSoj=1&excTrk=1&lsite=77&ittenable=false&domain=ebay.de&descgauge=1&cspheader=1&oneClk=2&secureDesc=1&oversion=ffd559ef,https://www.ebay.de/itm/184537273077
aldi zelt,Zeltplane Tarp  Camping  Gewebeplane  Sonnensegel Plane  3x3M  Tragbare,Sport,Camping & Outdoor|Zelte & Strandmuscheln|Zelte,https://i.ebayimg.com/images/g/LNYAAOSw8RxfU6dx/s-l300.jpg,"EUR 19,99",373192498691,,"{'Marke': 'VINGOMulti-use', 'Material': 'PolyesterGrün', 'Maximale Personenzahl': '4 PersonenQuadrat', 'Modell': 'Wasserdicht Sonnensegel3M x 3M', 'Passend für': 'Balkon, Garten, Terrassenicht zutreffend', 'Produkttyp': 'Sonnensegel4-Jahreszeiten', 'Zeltform': 'FamilienzeltNicht zutreffend'}",https://vi.vipr.ebaydesc.com/ws/eBayISAPI.dll?ViewItemDescV4&item=373192498691&t=1605381231000&category=179010&seller=jasperho201908&excSoj=1&excTrk=1&lsite=77&ittenable=false&domain=ebay.de&descgauge=1&cspheader=1&oneClk=2&secureDesc=1,https://www.ebay.de/itm/373192498691
aldi zelt,Iglu-Doppeldac,Sport,Camping & Outdoor|Zelte & Strandmuscheln|Zelte,https://i.ebayimg.com/images/g/i40AAOSwGOlfFGyK/s-l300.jpg,,174522707330,,"{'Länge': '200 cmAldi', 'Zeltform': 'Iglu-Doppeldach4,5 kg', 'Maximale Personenzahl': '3 Personen220 cm', 'Farbe': 'Dunkelgrün/PinkBaumwolle/ Polyamid'}",https://vi.vipr.ebaydesc.com/ws/eBayISAPI.dll?ViewItemDescV4&item=174522707330&t=0&category=179010&seller=niedaheim&excSoj=1&excTrk=1&lsite=77&ittenable=false&domain=ebay.de&descgauge=1&cspheader=1&oneClk=2&secureDesc=1,https://www.ebay.de/itm/174522707330
gucci guertel fake,Gucci Gürtel Orig Leder Schmal. Gold Schnalle,Kleidung & Accessoires,Damen|Damen-Accessoires|Gürtel,https://i.ebayimg.com/images/g/dtgAAOSwDRdfswQl/s-l300.jpg,"EUR 149,00",353281328523,,"{'Akzente': 'SchnallenGucci', 'Material': 'LederGürtel', 'Größe': '100Damen', 'Herstellungsland und -region': 'ItalienSchmal'}",https://vi.vipr.ebaydesc.com/ws/eBayISAPI.dll?ViewItemDescV4&item=353281328523&t=0&category=3003&seller=karasap-30&excSoj=1&excTrk=1&lsite=77&ittenable=false&domain=ebay.de&descgauge=1&cspheader=1&oneClk=2&secureDesc=1,https://www.ebay.de/itm/353281328523
airtrack,3M Turnmatte Air Tumbling Track Aufblasbare Matte Gymnastikmatte Elektropumpe,Sport,Fitness & Jogging|Kleingeräte & Zubehör|Turn- & Bodenmatten|Sport|Weitere Sportarten|Turnen & Gymnastik|Geräte,https://i.ebayimg.com/images/g/zzAAAOSwh4ZfK3~C/s-l300.jpg,"EUR 78,98",313206389262,,"{'Herstellernummer': 'nicht zutreffend6-10mm', 'Produktart': 'Gymnastikmatte300x100x10 cm', 'Aktivität': 'ArrayAufblasbar', 'Dicke': '10 cmgrau', 'Breite': '100 cmmax. 0,8bar / 12psi'}",https://vi.vipr.ebaydesc.com/ws/eBayISAPI.dll?ViewItemDescV4&item=313206389262&t=1599198549000&category=179806&seller=vovot_vvt&excSoj=1&excTrk=1&lsite=77&ittenable=false&domain=ebay.de&descgauge=1&cspheader=1&oneClk=2&secureDesc=1,https://www.ebay.de/itm/313206389262
krups ea 8100,Kaffeemaschine Krups 1/2 Jahr Alt ,Haushaltsgeräte,"Kaffee-, Tee- & Espressomaschinen|Kaffeevollautomaten",https://i.ebayimg.com/images/g/XFUAAOSwCStfnr8r/s-l300.jpg,,402556903321,,"{'Herstellergarantie': '1 JahrKaffeemaschine', 'Modell': 'EA8100'}",https://vi.vipr.ebaydesc.com/ws/eBayISAPI.dll?ViewItemDescV4&item=402556903321&t=0&category=65643&seller=tigg-9271&excSoj=1&excTrk=1&lsite=77&ittenable=false&domain=ebay.de&descgauge=1&cspheader=1&oneClk=2&secureDesc=1,https://www.ebay.de/itm/402556903321
fernseher ohne smart funktion,"Fernseher LED TV 24"" 32"" 40"" 50"" Zoll Full HD DVB-T2/S2 Smart-Option Elements","TV, Video & Audio",Fernseher,https://i.ebayimg.com/images/g/c~cAAOSw0w5efLQ6/s-l300.jpg,"EUR 129,00",402185289204,,"{'Marke': 'KB ElementsSchwarz', 'Anzeigetechnologie': 'LEDComponent (YPbPr) RCA', 'Modell': 'Elements60 Hz', 'Maximale Auflösung': '1080p (FHD)Elements', 'Besonderheiten': '2 Port USB HubCI+', 'Smart TV-Funktionen': 'Elektronischer Programmführer (EPG)OVP, 2x Fernbedienungen, 2x AAA-Batterien, Bedienungsanleitung (DE/EN), Standfüße, Wandhalterung'}",https://vi.vipr.ebaydesc.com/ws/eBayISAPI.dll?ViewItemDescV4&item=402185289204&t=1592814341000&category=11071&seller=notebookgalerie&excSoj=1&excTrk=1&lsite=77&ittenable=false&domain=ebay.de&descgauge=1&cspheader=1&oneClk=2&secureDesc=1,https://www.ebay.de/itm/402185289204
krups ea 8100,Kaffeevollauto,Haushaltsgeräte,"Kaffee-, Tee- & Espressomaschinen|Kaffeevollautomaten",https://i.ebayimg.com/images/g/uu0AAOSwkm1feZnR/s-l300.png,"EUR 269,00",274547149305,,"{'Wassertank-Fassungsvermögen': '1,8 LKrups', 'Produktart': 'KaffeevollautomatEA8100', 'EAN': 'nichtzutreffend'}",https://vi.vipr.ebaydesc.com/ws/eBayISAPI.dll?ViewItemDescV4&item=274547149305&t=1605916236000&category=65643&seller=werkzeug-handel-berlin&excSoj=1&excTrk=1&lsite=77&ittenable=false&domain=ebay.de&descgauge=1&cspheader=1&oneClk=2&secureDesc=1,https://www.ebay.de/itm/274547149305
dimstal split klimaanlage,"A++ Split Klimaanlage ECO Smart Inverter 12000btu/3,5 kW +3m Kupferleitung&",Heimwerker,Installation|Heizungs- & Klimasysteme|Mini-Split- & Inverter-Systeme|Mehr anzeigen DIMSTAL 12000btu A++ Split Klimaanlage EC...,https://i.ebayimg.com/images/g/MDUAAOSwASFfKIi8/s-l300.jpg,"EUR 479,90",114337347331,,"{'EEK': 'A++SMND-12 eco Smart Inverter', 'Produktart': 'Split- & Inverter-Klimageräte2500-3999 W', 'Farbe': 'WeißDIMSTAL', 'Kältemittel': 'R32WiFi-Ready', 'Standort': 'Alle RäumeHeizfunktion, Fernbedienung, LED-Display, Timer, Ventilatorfunktion, Kühlmittel-Leckerkennung, Ruhemodus, Wandmontage, Entfeuchtungsfunktion', 'Geeignet für Räume bis zu': '45 bis 69 m²Netzbetrieben', 'Smart Home Kommunikationsprotokoll': 'WLAN (mit optionalem USB Modul)Inverter Technologie', 'Smart Home Kompatibilität': 'Amazon Alexa (mit optionalem USB Modul), Google Home (mit optionalem USB Modul)Golden-Fin für langanhaltend hohen Wärmeaustausch', 'Ausführung': 'GoldenFin an Innen- und Ausseneinheit1036118781', 'EAN': '4260345574819'}",https://vi.vipr.ebaydesc.com/ws/eBayISAPI.dll?ViewItemDescV4&item=114337347331&t=0&category=185110&seller=simando&excSoj=1&excTrk=1&lsite=77&ittenable=false&domain=ebay.de&descgauge=1&cspheader=1&oneClk=2&secureDesc=1,https://www.ebay.de/itm/114337347331
dimstal split klimaanlage,"DIMSTAL ECO Smart Inverter WiFi Ready 7,0 kW 24000 Split Klimagerät Klimaanlage",Heimwerker,Installation|Heizungs- & Klimasysteme|Mini-Split- & Inverter-Systeme|Haushaltsgeräte|Klimaanlagen & Heizgeräte|Klimageräte & Heizgeräte|Fenster- & Wandklimageräte,https://i.ebayimg.com/images/g/-yEAAOSwKDpbtgrm/s-l300.jpg,"EUR 899,90",112976089977,,"{'EEK': 'A++Golden-Fin SMND-24 ECO Smart Inverter', 'Produktart': 'Split- & Inverter-Klimageräte6000-7999W', 'Farbe': 'WeißDIMSTAL', 'Wandhalter': 'InklusiveWiFi-Ready', 'Standort': 'Alle RäumeHeizfunktion-Wärmepumpe, Fernbedienung, LED-Display, Timer, Ventilatorfunktion, Kühlmittel-Leckerkennung, Ruhemodus, Wandmontage, Entfeuchtungsfunktion', 'Geeignet für Räume bis zu': '95 bis 114 m²Netzbetrieben', 'Smart Home Kommunikationsprotokoll': 'WLAN (mit optionalem USB Modul)Inverter Technologie', 'Smart Home Kompatibilität': 'Amazon Alexa (mit optionalem USB Modul)Golden-Fin für langanhaltend hohen Wärmeaustausch', 'Ausführung': 'GoldenFin an Innen- und Ausseneinheit1032541803', 'Kältemittel': 'R324260345573447'}",https://vi.vipr.ebaydesc.com/ws/eBayISAPI.dll?ViewItemDescV4&item=112976089977&t=1588786837000&category=185110&seller=simando&excSoj=1&excTrk=1&lsite=77&ittenable=false&domain=ebay.de&descgauge=1&cspheader=1&oneClk=2&secureDesc=1,https://www.ebay.de/itm/112976089977
